"Taxa","blue","Env","pop1","pop2","pop3","pop4","pop5","pop6","SNPPresence","EnvPresence","SNPAbsence","Phenotype"
97,63.48583681,"Env2",0.003,0.004,0.983,0.004,0.002,0.003,1,0,0,71.2152823857047
98,46.40761191,"Env2",0.093,0.791,0.051,0.016,0.004,0.041,1,0,0,53.8641304011039
99,51.75141,"Env2",0.142,0.481,0.005,0.286,0.005,0.017,0,0,1,49.2442630902379
100,50.2508573,"Env2",0.916,0.006,0.004,0.003,0.004,0.003,1,0,0,57.2994129794851
101,58.08332292,"Env2",0.002,0.006,0.212,0.034,0.01,0.717,0,0,1,59.254563585117
102,51.02294044,"Env2",0.005,0.004,0.003,0.975,0.008,0.004,0,0,1,48.7718117241826
103,65.54319637,"Env2",0.003,0.029,0.007,0.007,0.929,0.016,0,0,1,66.1434850627151
104,57.84485063,"Env2",0.003,0.981,0.003,0.002,0.004,0.004,0,0,1,55.6310353091813
105,54.21555563,"Env2",0.974,0.003,0.002,0.015,0.002,0.002,0,0,1,48.9194054679123
106,58.79205357,"Env2",0.002,0.005,0.004,0.02,0.909,0.055,0,0,1,65.7160693897362
107,47.29646433,"Env2",0.983,0.005,0.002,0.002,0.002,0.002,0,0,1,49.3856258030578
108,50.48762507,"Env2",0.905,0.066,0.009,0.002,0.003,0.01,1,0,0,48.0597632625362
109,59.06215099,"Env2",0.004,0.268,0.105,0.583,0.006,0.032,0,0,1,57.8257355628276
110,48.68767843,"Env2",0.688,0.011,0.004,0.107,0.004,0.172,0,0,1,54.8786446909099
111,65.51690213,"Env2",0.009,0.003,0.003,0.023,0.957,0.003,1,0,0,80.0812265234704
112,57.26454061,"Env2",0.004,0.006,0.006,0.383,0.013,0.103,1,0,0,68.9033486022739
114,50.51061601,"Env2",0.004,0.078,0.898,0.002,0.009,0.004,0,0,1,51.2614049407013
115,66.32561882,"Env2",0.003,0.003,0.002,0.003,0.003,0.008,0,0,1,62.1253224786514
117,48.67667732,"Env2",0.529,0.446,0.002,0.002,0.006,0.005,1,0,0,60.2943581875977
118,46.59120385,"Env2",0.052,0.932,0.003,0.003,0.003,0.005,1,0,0,57.0434590233824
119,51.35269925,"Env2",0.272,0.112,0.041,0.022,0.441,0.108,1,0,0,56.2576502148143
120,71.01621731,"Env2",0.006,0.003,0.245,0.204,0.509,0.008,0,0,1,67.4685363410687
121,59.11322727,"Env2",0.002,0.003,0.004,0.007,0.004,0.003,0,0,1,53.1210021736747
122,62.99044318,"Env2",0.002,0.003,0.98,0.007,0.002,0.005,1,0,0,76.1681953181234
124,48.51050523,"Env2",0.029,0.019,0.005,0.003,0.003,0.938,1,0,0,59.3176724925551
